source_workbook,source_sheet,source_row_number,cow_id,replication,thi_category,genetic_group,dry_matter_intake_kg_day
"DMI, milk yield and composition.xlsx",Sheet1,337,304,1,T1,HF62.5,10.24
"DMI, milk yield and composition.xlsx",Sheet1,338,304,2,T1,HF62.5,10.38
"DMI, milk yield and composition.xlsx",Sheet1,339,304,3,T1,HF62.5,10.57
"DMI, milk yield and composition.xlsx",Sheet1,340,304,4,T1,HF62.5,10.81
"DMI, milk yield and composition.xlsx",Sheet1,341,304,5,T1,HF62.5,11.04
"DMI, milk yield and composition.xlsx",Sheet1,342,304,1,T2,HF62.5,9.85
"DMI, milk yield and composition.xlsx",Sheet1,343,304,2,T2,HF62.5,9.6
"DMI, milk yield and composition.xlsx",Sheet1,344,304,3,T2,HF62.5,9.88
"DMI, milk yield and composition.xlsx",Sheet1,345,304,4,T2,HF62.5,9.14
"DMI, milk yield and composition.xlsx",Sheet1,346,304,5,T2,HF62.5,9.44
"DMI, milk yield and composition.xlsx",Sheet1,347,305,1,T0,HF62.5,11.68
"DMI, milk yield and composition.xlsx",Sheet1,348,305,2,T0,HF62.5,10.97
"DMI, milk yield and composition.xlsx",Sheet1,349,305,3,T0,HF62.5,11.04
"DMI, milk yield and composition.xlsx",Sheet1,350,305,4,T0,HF62.5,11.16
"DMI, milk yield and composition.xlsx",Sheet1,351,305,5,T0,HF62.5,11.56
"DMI, milk yield and composition.xlsx",Sheet1,352,305,1,T1,HF62.5,10.0
"DMI, milk yield and composition.xlsx",Sheet1,353,305,2,T1,HF62.5,9.69
"DMI, milk yield and composition.xlsx",Sheet1,354,305,3,T1,HF62.5,10.04
"DMI, milk yield and composition.xlsx",Sheet1,355,305,4,T1,HF62.5,10.41
"DMI, milk yield and composition.xlsx",Sheet1,356,305,5,T1,HF62.5,9.78
"DMI, milk yield and composition.xlsx",Sheet1,357,305,1,T2,HF62.5,10.2
"DMI, milk yield and composition.xlsx",Sheet1,358,305,2,T2,HF62.5,9.5
"DMI, milk yield and composition.xlsx",Sheet1,359,305,3,T2,HF62.5,9.47
"DMI, milk yield and composition.xlsx",Sheet1,360,305,4,T2,HF62.5,9.44
"DMI, milk yield and composition.xlsx",Sheet1,361,305,5,T2,HF62.5,9.24
"DMI, milk yield and composition.xlsx",Sheet1,362,306,1,T0,HF62.5,11.19
"DMI, milk yield and composition.xlsx",Sheet1,363,306,2,T0,HF62.5,11.26
"DMI, milk yield and composition.xlsx",Sheet1,364,306,3,T0,HF62.5,10.93
"DMI, milk yield and composition.xlsx",Sheet1,365,306,4,T0,HF62.5,10.67
"DMI, milk yield and composition.xlsx",Sheet1,366,306,5,T0,HF62.5,10.72
"DMI, milk yield and composition.xlsx",Sheet1,367,306,1,T1,HF62.5,9.97
"DMI, milk yield and composition.xlsx",Sheet1,368,306,2,T1,HF62.5,11.51
"DMI, milk yield and composition.xlsx",Sheet1,369,306,3,T1,HF62.5,9.97
"DMI, milk yield and composition.xlsx",Sheet1,370,306,4,T1,HF62.5,9.89
"DMI, milk yield and composition.xlsx",Sheet1,371,306,5,T1,HF62.5,10.57
"DMI, milk yield and composition.xlsx",Sheet1,372,306,1,T2,HF62.5,10.01
"DMI, milk yield and composition.xlsx",Sheet1,373,306,2,T2,HF62.5,9.77
"DMI, milk yield and composition.xlsx",Sheet1,374,306,3,T2,HF62.5,9.96
"DMI, milk yield and composition.xlsx",Sheet1,375,306,4,T2,HF62.5,9.11
"DMI, milk yield and composition.xlsx",Sheet1,376,306,5,T2,HF62.5,9.44
"DMI, milk yield and composition.xlsx",Sheet1,377,307,1,T0,HF62.5,11.11
"DMI, milk yield and composition.xlsx",Sheet1,378,307,2,T0,HF62.5,10.45
"DMI, milk yield and composition.xlsx",Sheet1,379,307,3,T0,HF62.5,10.52
"DMI, milk yield and composition.xlsx",Sheet1,380,307,4,T0,HF62.5,10.84
"DMI, milk yield and composition.xlsx",Sheet1,381,307,5,T0,HF62.5,10.46
"DMI, milk yield and composition.xlsx",Sheet1,382,307,1,T1,HF62.5,10.48
"DMI, milk yield and composition.xlsx",Sheet1,383,307,2,T1,HF62.5,10.45
"DMI, milk yield and composition.xlsx",Sheet1,384,307,3,T1,HF62.5,10.52
"DMI, milk yield and composition.xlsx",Sheet1,385,307,4,T1,HF62.5,9.59
"DMI, milk yield and composition.xlsx",Sheet1,386,307,5,T1,HF62.5,10.16
"DMI, milk yield and composition.xlsx",Sheet1,387,307,1,T2,HF62.5,9.68
"DMI, milk yield and composition.xlsx",Sheet1,388,307,2,T2,HF62.5,9.95
"DMI, milk yield and composition.xlsx",Sheet1,389,307,3,T2,HF62.5,8.97
"DMI, milk yield and composition.xlsx",Sheet1,390,307,4,T2,HF62.5,9.29
"DMI, milk yield and composition.xlsx",Sheet1,391,307,5,T2,HF62.5,9.9
"DMI, milk yield and composition.xlsx",Sheet1,392,308,1,T0,HF62.5,10.77
"DMI, milk yield and composition.xlsx",Sheet1,393,308,2,T0,HF62.5,10.81
"DMI, milk yield and composition.xlsx",Sheet1,394,308,3,T0,HF62.5,11.67
"DMI, milk yield and composition.xlsx",Sheet1,395,308,4,T0,HF62.5,11.18
"DMI, milk yield and composition.xlsx",Sheet1,396,308,5,T0,HF62.5,10.92
"DMI, milk yield and composition.xlsx",Sheet1,397,308,1,T1,HF62.5,10.09
"DMI, milk yield and composition.xlsx",Sheet1,398,308,2,T1,HF62.5,9.93
"DMI, milk yield and composition.xlsx",Sheet1,399,308,3,T1,HF62.5,10.07
"DMI, milk yield and composition.xlsx",Sheet1,400,308,4,T1,HF62.5,9.98
"DMI, milk yield and composition.xlsx",Sheet1,401,308,5,T1,HF62.5,10.03
"DMI, milk yield and composition.xlsx",Sheet1,402,308,1,T2,HF62.5,10.18
"DMI, milk yield and composition.xlsx",Sheet1,403,308,2,T2,HF62.5,9.84
"DMI, milk yield and composition.xlsx",Sheet1,404,308,3,T2,HF62.5,9.57
"DMI, milk yield and composition.xlsx",Sheet1,405,308,4,T2,HF62.5,9.4
"DMI, milk yield and composition.xlsx",Sheet1,406,308,5,T2,HF62.5,9.81
"DMI, milk yield and composition.xlsx",Sheet1,407,309,1,T0,HF62.5,10.8
"DMI, milk yield and composition.xlsx",Sheet1,408,309,2,T0,HF62.5,10.87
"DMI, milk yield and composition.xlsx",Sheet1,409,309,3,T0,HF62.5,10.35
"DMI, milk yield and composition.xlsx",Sheet1,410,309,4,T0,HF62.5,10.99
"DMI, milk yield and composition.xlsx",Sheet1,411,309,5,T0,HF62.5,11.3
"DMI, milk yield and composition.xlsx",Sheet1,412,309,1,T1,HF62.5,10.23
"DMI, milk yield and composition.xlsx",Sheet1,413,309,2,T1,HF62.5,9.94
"DMI, milk yield and composition.xlsx",Sheet1,414,309,3,T1,HF62.5,10.33
"DMI, milk yield and composition.xlsx",Sheet1,415,309,4,T1,HF62.5,10.72
"DMI, milk yield and composition.xlsx",Sheet1,416,309,5,T1,HF62.5,10.05
"DMI, milk yield and composition.xlsx",Sheet1,417,309,1,T2,HF62.5,9.79
"DMI, milk yield and composition.xlsx",Sheet1,418,309,2,T2,HF62.5,9.92
"DMI, milk yield and composition.xlsx",Sheet1,419,309,3,T2,HF62.5,9.62
"DMI, milk yield and composition.xlsx",Sheet1,420,309,4,T2,HF62.5,9.38
"DMI, milk yield and composition.xlsx",Sheet1,421,309,5,T2,HF62.5,10.14
"DMI, milk yield and composition.xlsx",Sheet1,422,310,1,T0,HF62.5,10.11
"DMI, milk yield and composition.xlsx",Sheet1,423,310,2,T0,HF62.5,10.89
"DMI, milk yield and composition.xlsx",Sheet1,424,310,3,T0,HF62.5,10.95
"DMI, milk yield and composition.xlsx",Sheet1,425,310,4,T0,HF62.5,10.68
"DMI, milk yield and composition.xlsx",Sheet1,426,310,5,T0,HF62.5,10.93
"DMI, milk yield and composition.xlsx",Sheet1,427,310,1,T1,HF62.5,10.06
"DMI, milk yield and composition.xlsx",Sheet1,428,310,2,T1,HF62.5,10.37
"DMI, milk yield and composition.xlsx",Sheet1,429,310,3,T1,HF62.5,10.25
"DMI, milk yield and composition.xlsx",Sheet1,430,310,4,T1,HF62.5,9.95
"DMI, milk yield and composition.xlsx",Sheet1,431,310,5,T1,HF62.5,9.9
"DMI, milk yield and composition.xlsx",Sheet1,432,310,1,T2,HF62.5,9.45
"DMI, milk yield and composition.xlsx",Sheet1,433,310,2,T2,HF62.5,9.34
"DMI, milk yield and composition.xlsx",Sheet1,434,310,3,T2,HF62.5,9.98
"DMI, milk yield and composition.xlsx",Sheet1,435,310,4,T2,HF62.5,9.82
"DMI, milk yield and composition.xlsx",Sheet1,436,310,5,T2,HF62.5,9.95
"DMI, milk yield and composition.xlsx",Sheet1,437,311,1,T0,HF62.5,10.12
"DMI, milk yield and composition.xlsx",Sheet1,438,311,2,T0,HF62.5,11.21
"DMI, milk yield and composition.xlsx",Sheet1,439,311,3,T0,HF62.5,11.04
"DMI, milk yield and composition.xlsx",Sheet1,440,311,4,T0,HF62.5,10.86
"DMI, milk yield and composition.xlsx",Sheet1,441,311,5,T0,HF62.5,10.63
"DMI, milk yield and composition.xlsx",Sheet1,442,311,1,T1,HF62.5,9.96
"DMI, milk yield and composition.xlsx",Sheet1,443,311,2,T1,HF62.5,9.66
"DMI, milk yield and composition.xlsx",Sheet1,444,311,3,T1,HF62.5,9.59
"DMI, milk yield and composition.xlsx",Sheet1,445,311,4,T1,HF62.5,10.56
"DMI, milk yield and composition.xlsx",Sheet1,446,311,5,T1,HF62.5,10.99
"DMI, milk yield and composition.xlsx",Sheet1,447,311,1,T2,HF62.5,9.98
"DMI, milk yield and composition.xlsx",Sheet1,448,311,2,T2,HF62.5,9.4
"DMI, milk yield and composition.xlsx",Sheet1,449,311,3,T2,HF62.5,9.99
"DMI, milk yield and composition.xlsx",Sheet1,450,311,4,T2,HF62.5,9.83
"DMI, milk yield and composition.xlsx",Sheet1,451,311,5,T2,HF62.5,10.07
"DMI, milk yield and composition.xlsx",Sheet1,452,402,1,T0,HF75,12.86
"DMI, milk yield and composition.xlsx",Sheet1,453,402,2,T0,HF75,11.67
"DMI, milk yield and composition.xlsx",Sheet1,454,402,3,T0,HF75,12.25
"DMI, milk yield and composition.xlsx",Sheet1,455,402,4,T0,HF75,12.76
"DMI, milk yield and composition.xlsx",Sheet1,456,402,5,T0,HF75,12.23
"DMI, milk yield and composition.xlsx",Sheet1,457,402,1,T1,HF75,10.78
"DMI, milk yield and composition.xlsx",Sheet1,458,402,2,T1,HF75,11.12
"DMI, milk yield and composition.xlsx",Sheet1,459,402,3,T1,HF75,10.69
"DMI, milk yield and composition.xlsx",Sheet1,460,402,4,T1,HF75,11.07
"DMI, milk yield and composition.xlsx",Sheet1,461,402,5,T1,HF75,11.94
"DMI, milk yield and composition.xlsx",Sheet1,462,402,1,T2,HF75,10.72
"DMI, milk yield and composition.xlsx",Sheet1,463,402,2,T2,HF75,10.89
"DMI, milk yield and composition.xlsx",Sheet1,464,402,3,T2,HF75,11.2
"DMI, milk yield and composition.xlsx",Sheet1,465,402,4,T2,HF75,11.32
"DMI, milk yield and composition.xlsx",Sheet1,466,402,5,T2,HF75,10.48
"DMI, milk yield and composition.xlsx",Sheet1,467,403,1,T0,HF75,11.75
"DMI, milk yield and composition.xlsx",Sheet1,468,403,2,T0,HF75,12.13
"DMI, milk yield and composition.xlsx",Sheet1,469,403,3,T0,HF75,11.82
"DMI, milk yield and composition.xlsx",Sheet1,470,403,4,T0,HF75,12.04
"DMI, milk yield and composition.xlsx",Sheet1,471,403,5,T0,HF75,11.76
"DMI, milk yield and composition.xlsx",Sheet1,472,403,1,T1,HF75,11.06
"DMI, milk yield and composition.xlsx",Sheet1,473,403,2,T1,HF75,11.03
"DMI, milk yield and composition.xlsx",Sheet1,474,403,3,T1,HF75,11.87
"DMI, milk yield and composition.xlsx",Sheet1,475,403,4,T1,HF75,11.48
"DMI, milk yield and composition.xlsx",Sheet1,476,403,5,T1,HF75,11.76
"DMI, milk yield and composition.xlsx",Sheet1,477,403,1,T2,HF75,10.44
"DMI, milk yield and composition.xlsx",Sheet1,478,403,2,T2,HF75,10.33
"DMI, milk yield and composition.xlsx",Sheet1,479,403,3,T2,HF75,10.53
"DMI, milk yield and composition.xlsx",Sheet1,480,403,4,T2,HF75,11.15
"DMI, milk yield and composition.xlsx",Sheet1,481,403,5,T2,HF75,10.3
"DMI, milk yield and composition.xlsx",Sheet1,482,404,1,T0,HF75,12.78
"DMI, milk yield and composition.xlsx",Sheet1,483,404,2,T0,HF75,12.99
"DMI, milk yield and composition.xlsx",Sheet1,484,404,3,T0,HF75,12.4
"DMI, milk yield and composition.xlsx",Sheet1,485,404,4,T0,HF75,12.3
"DMI, milk yield and composition.xlsx",Sheet1,486,404,5,T0,HF75,11.98
"DMI, milk yield and composition.xlsx",Sheet1,487,404,1,T1,HF75,11.03
"DMI, milk yield and composition.xlsx",Sheet1,488,404,2,T1,HF75,11.91
"DMI, milk yield and composition.xlsx",Sheet1,489,404,3,T1,HF75,11.09
"DMI, milk yield and composition.xlsx",Sheet1,490,404,4,T1,HF75,10.83
"DMI, milk yield and composition.xlsx",Sheet1,491,404,5,T1,HF75,11.52
"DMI, milk yield and composition.xlsx",Sheet1,492,404,1,T2,HF75,10.61
"DMI, milk yield and composition.xlsx",Sheet1,493,404,2,T2,HF75,10.96
"DMI, milk yield and composition.xlsx",Sheet1,494,404,3,T2,HF75,10.64
"DMI, milk yield and composition.xlsx",Sheet1,495,404,4,T2,HF75,10.87
"DMI, milk yield and composition.xlsx",Sheet1,496,404,5,T2,HF75,10.66
"DMI, milk yield and composition.xlsx",Sheet1,497,405,1,T0,HF75,12.44
"DMI, milk yield and composition.xlsx",Sheet1,498,405,2,T0,HF75,12.16
"DMI, milk yield and composition.xlsx",Sheet1,499,405,3,T0,HF75,12.53
"DMI, milk yield and composition.xlsx",Sheet1,500,405,4,T0,HF75,12.49
"DMI, milk yield and composition.xlsx",Sheet1,501,405,5,T0,HF75,12.09
"DMI, milk yield and composition.xlsx",Sheet1,502,405,1,T1,HF75,11.14
"DMI, milk yield and composition.xlsx",Sheet1,503,405,2,T1,HF75,11.55
"DMI, milk yield and composition.xlsx",Sheet1,504,405,3,T1,HF75,10.83
"DMI, milk yield and composition.xlsx",Sheet1,505,405,4,T1,HF75,11.89
"DMI, milk yield and composition.xlsx",Sheet1,506,405,5,T1,HF75,11.65
"DMI, milk yield and composition.xlsx",Sheet1,507,405,1,T2,HF75,10.96
"DMI, milk yield and composition.xlsx",Sheet1,508,405,2,T2,HF75,9.91
"DMI, milk yield and composition.xlsx",Sheet1,509,405,3,T2,HF75,10.36
"DMI, milk yield and composition.xlsx",Sheet1,510,405,4,T2,HF75,10.6
"DMI, milk yield and composition.xlsx",Sheet1,511,405,5,T2,HF75,10.09
"DMI, milk yield and composition.xlsx",Sheet1,512,406,1,T0,HF75,12.04
"DMI, milk yield and composition.xlsx",Sheet1,513,406,2,T0,HF75,12.62
"DMI, milk yield and composition.xlsx",Sheet1,514,406,3,T0,HF75,11.78
"DMI, milk yield and composition.xlsx",Sheet1,515,406,4,T0,HF75,12.87
"DMI, milk yield and composition.xlsx",Sheet1,516,406,5,T0,HF75,11.29
"DMI, milk yield and composition.xlsx",Sheet1,517,406,1,T1,HF75,11.27
"DMI, milk yield and composition.xlsx",Sheet1,518,406,2,T1,HF75,10.92
"DMI, milk yield and composition.xlsx",Sheet1,519,406,3,T1,HF75,11.82
"DMI, milk yield and composition.xlsx",Sheet1,520,406,4,T1,HF75,11.64
"DMI, milk yield and composition.xlsx",Sheet1,521,406,5,T1,HF75,10.94
"DMI, milk yield and composition.xlsx",Sheet1,522,406,1,T2,HF75,10.57
"DMI, milk yield and composition.xlsx",Sheet1,523,406,2,T2,HF75,10.44
"DMI, milk yield and composition.xlsx",Sheet1,524,406,3,T2,HF75,10.68
"DMI, milk yield and composition.xlsx",Sheet1,525,406,4,T2,HF75,11.4
"DMI, milk yield and composition.xlsx",Sheet1,526,406,5,T2,HF75,10.5
"DMI, milk yield and composition.xlsx",Sheet1,527,407,1,T0,HF75,12.0
"DMI, milk yield and composition.xlsx",Sheet1,528,407,2,T0,HF75,11.82
"DMI, milk yield and composition.xlsx",Sheet1,529,407,3,T0,HF75,12.25
"DMI, milk yield and composition.xlsx",Sheet1,530,407,4,T0,HF75,12.17
"DMI, milk yield and composition.xlsx",Sheet1,531,407,5,T0,HF75,11.99
"DMI, milk yield and composition.xlsx",Sheet1,532,407,1,T1,HF75,11.61
"DMI, milk yield and composition.xlsx",Sheet1,533,407,2,T1,HF75,11.74
"DMI, milk yield and composition.xlsx",Sheet1,534,407,3,T1,HF75,12.01
"DMI, milk yield and composition.xlsx",Sheet1,535,407,4,T1,HF75,11.19
"DMI, milk yield and composition.xlsx",Sheet1,536,407,5,T1,HF75,11.48
"DMI, milk yield and composition.xlsx",Sheet1,537,407,1,T2,HF75,10.63
"DMI, milk yield and composition.xlsx",Sheet1,538,407,2,T2,HF75,11.19
"DMI, milk yield and composition.xlsx",Sheet1,539,407,3,T2,HF75,10.67
"DMI, milk yield and composition.xlsx",Sheet1,540,407,4,T2,HF75,11.68
"DMI, milk yield and composition.xlsx",Sheet1,541,407,5,T2,HF75,10.75
"DMI, milk yield and composition.xlsx",Sheet1,542,408,1,T0,HF75,12.34
"DMI, milk yield and composition.xlsx",Sheet1,543,408,2,T0,HF75,11.68
"DMI, milk yield and composition.xlsx",Sheet1,544,408,3,T0,HF75,12.51
"DMI, milk yield and composition.xlsx",Sheet1,545,408,4,T0,HF75,11.72
"DMI, milk yield and composition.xlsx",Sheet1,546,408,5,T0,HF75,12.57
"DMI, milk yield and composition.xlsx",Sheet1,547,408,1,T1,HF75,11.96
"DMI, milk yield and composition.xlsx",Sheet1,548,408,2,T1,HF75,11.29
"DMI, milk yield and composition.xlsx",Sheet1,549,408,3,T1,HF75,11.38
"DMI, milk yield and composition.xlsx",Sheet1,550,408,4,T1,HF75,11.48
"DMI, milk yield and composition.xlsx",Sheet1,551,408,5,T1,HF75,11.71
"DMI, milk yield and composition.xlsx",Sheet1,552,408,1,T2,HF75,10.76
"DMI, milk yield and composition.xlsx",Sheet1,553,408,2,T2,HF75,10.38
"DMI, milk yield and composition.xlsx",Sheet1,554,408,3,T2,HF75,10.55
"DMI, milk yield and composition.xlsx",Sheet1,555,408,4,T2,HF75,10.6
"DMI, milk yield and composition.xlsx",Sheet1,556,408,5,T2,HF75,11.1
"DMI, milk yield and composition.xlsx",Sheet1,557,409,1,T0,HF75,11.33
"DMI, milk yield and composition.xlsx",Sheet1,558,409,2,T0,HF75,11.66
"DMI, milk yield and composition.xlsx",Sheet1,559,409,3,T0,HF75,11.51
"DMI, milk yield and composition.xlsx",Sheet1,560,409,4,T0,HF75,11.98
"DMI, milk yield and composition.xlsx",Sheet1,561,409,5,T0,HF75,12.25
"DMI, milk yield and composition.xlsx",Sheet1,562,409,1,T1,HF75,10.94
"DMI, milk yield and composition.xlsx",Sheet1,563,409,2,T1,HF75,11.42
"DMI, milk yield and composition.xlsx",Sheet1,564,409,3,T1,HF75,11.11
"DMI, milk yield and composition.xlsx",Sheet1,565,409,4,T1,HF75,11.12
"DMI, milk yield and composition.xlsx",Sheet1,566,409,5,T1,HF75,11.63
"DMI, milk yield and composition.xlsx",Sheet1,567,409,1,T2,HF75,10.53
"DMI, milk yield and composition.xlsx",Sheet1,568,409,2,T2,HF75,10.49
"DMI, milk yield and composition.xlsx",Sheet1,569,409,3,T2,HF75,10.7
"DMI, milk yield and composition.xlsx",Sheet1,570,409,4,T2,HF75,11.15
"DMI, milk yield and composition.xlsx",Sheet1,571,409,5,T2,HF75,11.2
"DMI, milk yield and composition.xlsx",Sheet1,572,410,1,T0,HF75,12.48
"DMI, milk yield and composition.xlsx",Sheet1,573,410,2,T0,HF75,12.02
"DMI, milk yield and composition.xlsx",Sheet1,574,410,3,T0,HF75,12.4
"DMI, milk yield and composition.xlsx",Sheet1,575,410,4,T0,HF75,12.97
"DMI, milk yield and composition.xlsx",Sheet1,576,410,5,T0,HF75,12.54
"DMI, milk yield and composition.xlsx",Sheet1,577,410,1,T1,HF75,10.98
"DMI, milk yield and composition.xlsx",Sheet1,578,410,2,T1,HF75,10.85
"DMI, milk yield and composition.xlsx",Sheet1,579,410,3,T1,HF75,11.4
"DMI, milk yield and composition.xlsx",Sheet1,580,410,4,T1,HF75,10.9
"DMI, milk yield and composition.xlsx",Sheet1,581,410,5,T1,HF75,11.39
"DMI, milk yield and composition.xlsx",Sheet1,582,410,1,T2,HF75,10.6
"DMI, milk yield and composition.xlsx",Sheet1,583,410,2,T2,HF75,9.84
"DMI, milk yield and composition.xlsx",Sheet1,584,410,3,T2,HF75,11.24
"DMI, milk yield and composition.xlsx",Sheet1,585,410,4,T2,HF75,10.19
"DMI, milk yield and composition.xlsx",Sheet1,586,410,5,T2,HF75,10.42
"DMI, milk yield and composition.xlsx",Sheet1,587,411,1,T0,HF75,11.71
"DMI, milk yield and composition.xlsx",Sheet1,588,411,2,T0,HF75,11.66
"DMI, milk yield and composition.xlsx",Sheet1,589,411,3,T0,HF75,12.17
"DMI, milk yield and composition.xlsx",Sheet1,590,411,4,T0,HF75,11.84
"DMI, milk yield and composition.xlsx",Sheet1,591,411,5,T0,HF75,12.13
"DMI, milk yield and composition.xlsx",Sheet1,592,411,1,T1,HF75,11.7
"DMI, milk yield and composition.xlsx",Sheet1,593,411,2,T1,HF75,11.77
"DMI, milk yield and composition.xlsx",Sheet1,594,411,3,T1,HF75,11.56
"DMI, milk yield and composition.xlsx",Sheet1,595,411,4,T1,HF75,11.54
"DMI, milk yield and composition.xlsx",Sheet1,596,411,5,T1,HF75,11.76
"DMI, milk yield and composition.xlsx",Sheet1,597,411,1,T2,HF75,10.55
"DMI, milk yield and composition.xlsx",Sheet1,598,411,2,T2,HF75,10.71
"DMI, milk yield and composition.xlsx",Sheet1,599,411,3,T2,HF75,10.65
"DMI, milk yield and composition.xlsx",Sheet1,600,411,4,T2,HF75,10.89
"DMI, milk yield and composition.xlsx",Sheet1,601,411,5,T2,HF75,10.63
"DMI, milk yield and composition.xlsx",Sheet1,602,502,1,T0,HF87.5,13.64
"DMI, milk yield and composition.xlsx",Sheet1,603,502,2,T0,HF87.5,13.7
"DMI, milk yield and composition.xlsx",Sheet1,604,502,3,T0,HF87.5,13.96
"DMI, milk yield and composition.xlsx",Sheet1,605,502,4,T0,HF87.5,13.93
"DMI, milk yield and composition.xlsx",Sheet1,606,502,5,T0,HF87.5,13.95
"DMI, milk yield and composition.xlsx",Sheet1,607,502,1,T1,HF87.5,12.84
"DMI, milk yield and composition.xlsx",Sheet1,608,502,2,T1,HF87.5,13.02
"DMI, milk yield and composition.xlsx",Sheet1,609,502,3,T1,HF87.5,12.88
"DMI, milk yield and composition.xlsx",Sheet1,610,502,4,T1,HF87.5,13.31
"DMI, milk yield and composition.xlsx",Sheet1,611,502,5,T1,HF87.5,13.59
"DMI, milk yield and composition.xlsx",Sheet1,612,502,1,T2,HF87.5,12.59
"DMI, milk yield and composition.xlsx",Sheet1,613,502,2,T2,HF87.5,13.19
"DMI, milk yield and composition.xlsx",Sheet1,614,502,3,T2,HF87.5,12.46
"DMI, milk yield and composition.xlsx",Sheet1,615,502,4,T2,HF87.5,12.54
"DMI, milk yield and composition.xlsx",Sheet1,616,502,5,T2,HF87.5,12.77
"DMI, milk yield and composition.xlsx",Sheet1,617,503,1,T0,HF87.5,14.32
"DMI, milk yield and composition.xlsx",Sheet1,618,503,2,T0,HF87.5,13.76
"DMI, milk yield and composition.xlsx",Sheet1,619,503,3,T0,HF87.5,14.82
"DMI, milk yield and composition.xlsx",Sheet1,620,503,4,T0,HF87.5,14.01
"DMI, milk yield and composition.xlsx",Sheet1,621,503,5,T0,HF87.5,14.22
"DMI, milk yield and composition.xlsx",Sheet1,622,503,1,T1,HF87.5,13.27
"DMI, milk yield and composition.xlsx",Sheet1,623,503,2,T1,HF87.5,13.24
"DMI, milk yield and composition.xlsx",Sheet1,624,503,3,T1,HF87.5,13.37
"DMI, milk yield and composition.xlsx",Sheet1,625,503,4,T1,HF87.5,13.77
"DMI, milk yield and composition.xlsx",Sheet1,626,503,5,T1,HF87.5,13.54
"DMI, milk yield and composition.xlsx",Sheet1,627,503,1,T2,HF87.5,12.15
"DMI, milk yield and composition.xlsx",Sheet1,628,503,2,T2,HF87.5,12.57
"DMI, milk yield and composition.xlsx",Sheet1,629,503,3,T2,HF87.5,12.2
"DMI, milk yield and composition.xlsx",Sheet1,630,503,4,T2,HF87.5,12.54
"DMI, milk yield and composition.xlsx",Sheet1,631,503,5,T2,HF87.5,12.72
"DMI, milk yield and composition.xlsx",Sheet1,632,504,1,T0,HF87.5,13.85
"DMI, milk yield and composition.xlsx",Sheet1,633,504,2,T0,HF87.5,14.39
"DMI, milk yield and composition.xlsx",Sheet1,634,504,3,T0,HF87.5,13.51
"DMI, milk yield and composition.xlsx",Sheet1,635,504,4,T0,HF87.5,14.24
"DMI, milk yield and composition.xlsx",Sheet1,636,504,5,T0,HF87.5,13.41
"DMI, milk yield and composition.xlsx",Sheet1,637,504,1,T1,HF87.5,12.95
"DMI, milk yield and composition.xlsx",Sheet1,638,504,2,T1,HF87.5,13.97
"DMI, milk yield and composition.xlsx",Sheet1,639,504,3,T1,HF87.5,12.7
"DMI, milk yield and composition.xlsx",Sheet1,640,504,4,T1,HF87.5,14.1
"DMI, milk yield and composition.xlsx",Sheet1,641,504,5,T1,HF87.5,13.42
"DMI, milk yield and composition.xlsx",Sheet1,642,504,1,T2,HF87.5,12.64
"DMI, milk yield and composition.xlsx",Sheet1,643,504,2,T2,HF87.5,12.8
"DMI, milk yield and composition.xlsx",Sheet1,644,504,3,T2,HF87.5,12.84
"DMI, milk yield and composition.xlsx",Sheet1,645,504,4,T2,HF87.5,12.7
"DMI, milk yield and composition.xlsx",Sheet1,646,504,5,T2,HF87.5,12.09
"DMI, milk yield and composition.xlsx",Sheet1,647,505,1,T0,HF87.5,13.39
"DMI, milk yield and composition.xlsx",Sheet1,648,505,2,T0,HF87.5,13.89
"DMI, milk yield and composition.xlsx",Sheet1,649,505,3,T0,HF87.5,14.33
"DMI, milk yield and composition.xlsx",Sheet1,650,505,4,T0,HF87.5,13.85
"DMI, milk yield and composition.xlsx",Sheet1,651,505,5,T0,HF87.5,13.8
"DMI, milk yield and composition.xlsx",Sheet1,652,505,1,T1,HF87.5,13.26
"DMI, milk yield and composition.xlsx",Sheet1,653,505,2,T1,HF87.5,13.06
"DMI, milk yield and composition.xlsx",Sheet1,654,505,3,T1,HF87.5,13.9
"DMI, milk yield and composition.xlsx",Sheet1,655,505,4,T1,HF87.5,13.55
"DMI, milk yield and composition.xlsx",Sheet1,656,505,5,T1,HF87.5,13.32
"DMI, milk yield and composition.xlsx",Sheet1,657,505,1,T2,HF87.5,12.18
"DMI, milk yield and composition.xlsx",Sheet1,658,505,2,T2,HF87.5,12.37
"DMI, milk yield and composition.xlsx",Sheet1,659,505,3,T2,HF87.5,11.89
"DMI, milk yield and composition.xlsx",Sheet1,660,505,4,T2,HF87.5,12.38
"DMI, milk yield and composition.xlsx",Sheet1,661,505,5,T2,HF87.5,12.39
"DMI, milk yield and composition.xlsx",Sheet1,662,506,1,T0,HF87.5,14.36
"DMI, milk yield and composition.xlsx",Sheet1,663,506,2,T0,HF87.5,13.96
"DMI, milk yield and composition.xlsx",Sheet1,664,506,3,T0,HF87.5,14.38
"DMI, milk yield and composition.xlsx",Sheet1,665,506,4,T0,HF87.5,14.11
"DMI, milk yield and composition.xlsx",Sheet1,666,506,5,T0,HF87.5,14.14
"DMI, milk yield and composition.xlsx",Sheet1,667,506,1,T1,HF87.5,13.63
