configuration_id,algorithm,parameters_json,is_baseline,group_cv_mae,group_cv_rmse,group_cv_r2,group_cv_median_absolute_error,group_cv_mean_residual,minimum_prediction,maximum_prediction,negative_prediction_count,fold_mae_standard_deviation,fold_mae_coefficient_of_variation,all_fold_r2_positive,status,relative_mae_improvement_vs_best_baseline,relative_rmse_improvement_vs_best_baseline
bangladesh_milk_dummy_mean,DummyRegressor,"{""strategy"": ""mean""}",True,2.191289513888889,2.7195650366130346,-0.0037795649267964304,1.78125,-5.921189464667501e-17,5.252875,5.379604166666667,0,0.19378633038146206,0.08843483672659429,False,BASELINE,,
bangladesh_milk_dummy_median,DummyRegressor,"{""strategy"": ""median""}",True,2.162533333333333,2.744359245191246,-0.022165866297974457,1.6475,-0.3691166666666668,5.61,5.785,0,0.1491418810879237,0.06896628079162882,False,BASELINE,,
bangladesh_milk_linear,LinearRegression,{},False,0.46309511601856135,0.5764591825044996,0.9548999965851904,0.39903194444444434,-0.0009863363484312988,0.8332083333333333,9.490013888888889,0,0.03869473649688087,0.0835567795004125,True,BEATS_BASELINE,0.785855270353338,0.7880325806723764
bangladesh_milk_ridge_a0_1,Ridge,"{""alpha"": 0.1}",False,0.4631435533824558,0.5764546971894028,0.9549006984109062,0.3969547885753242,-0.0009615968869144294,0.8369962197527556,9.485858620677625,0,0.03866876673421085,0.08349196799092412,True,BEATS_BASELINE,0.7858328719176016,0.7880342299490203
bangladesh_milk_ridge_a1,Ridge,"{""alpha"": 1.0}",False,0.4639133996215907,0.5768814263988564,0.9548339028320777,0.3892972099401,-0.0007193950542200778,0.8707944769748561,9.448836875137248,0,0.038268882698670806,0.08249143639715156,True,BEATS_BASELINE,0.7854768791440946,0.7878773191181673
bangladesh_milk_ridge_a10,Ridge,"{""alpha"": 10.0}",False,0.5002567966389898,0.618668872651556,0.9480535368678564,0.43653192396544327,0.001295076241493381,1.1821221488595466,9.112325110044017,0,0.04401925800454372,0.08799332322976954,True,BEATS_BASELINE,0.7686709430425783,0.7725118302660449
bangladesh_milk_tree_d2,DecisionTreeRegressor,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""random_state"": 42}",False,0.6444141198516444,0.819969463047842,0.9087495931508964,0.5375277777777776,-0.0007519296607522508,0.8967500000000002,9.020555555555555,0,0.03485909994471898,0.05409425223758934,True,BEATS_BASELINE,0.702009624583061,0.6984924236012985
bangladesh_milk_tree_d3,DecisionTreeRegressor,"{""max_depth"": 3, ""min_samples_leaf"": 20, ""random_state"": 42}",False,0.5545223465608466,0.6853925262936149,0.9362444229868923,0.5039583333333321,-0.0017764285714287336,0.8967500000000002,9.287333333333335,0,0.019169774857014935,0.03456988699536831,True,BEATS_BASELINE,0.743577433922785,0.747977151836307
bangladesh_milk_forest_d2,RandomForestRegressor,"{""max_depth"": 2, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}",False,0.6384363473002048,0.8158586603457197,0.9096622420944793,0.5354135786999983,-0.0012010452608952216,0.9410052977503099,9.015342479147899,0,0.03201122936209903,0.050140048412761734,True,BEATS_BASELINE,0.7047738698593294,0.700003989843245
bangladesh_milk_forest_d3,RandomForestRegressor,"{""max_depth"": 3, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}",False,0.5522521224182316,0.6835405717733072,0.9365884970951128,0.49718508926505145,-0.0050746402418323615,0.9123478934709486,9.358310190331578,0,0.019365675968082127,0.035066729817683,True,BEATS_BASELINE,0.7446272323733437,0.7486581263654597
