configuration_id,algorithm,is_baseline,training_seconds,prediction_seconds,mae,rmse,r2,median_absolute_error,mean_residual,residual_standard_deviation,minimum_prediction,maximum_prediction,negative_prediction_count
milk_yield_dummy_mean,DummyRegressor,True,0.144277,0.018865,4.653788866188191,5.7559273645120435,-1.2205675228305068e-05,4.140252457142855,-0.020109142857143842,5.7559689841083514,8.729747542857144,8.729747542857144,0
milk_yield_dummy_median,DummyRegressor,True,0.148659,0.019848,4.573894933333333,5.858123188416804,-0.035837647286341534,3.8000000000000003,1.0896383999999997,5.7559689841083514,7.62,7.62,0
milk_yield_ridge,Ridge,False,0.187924,0.019639,1.1016672990036904,1.3816476464718825,0.9423805253411468,0.9255610549964014,-0.006534008427451675,1.381650618388502,-0.22404123640049178,35.92423319156081,45
milk_yield_decision_tree,DecisionTreeRegressor,False,3.40906,0.02287,1.136374218159198,1.424039376806866,0.9387905202993206,0.9597510548523336,-0.003718286757413187,1.424053509925354,0.12,33.09400000000001,0
milk_yield_random_forest,RandomForestRegressor,False,122.420874,0.14831,1.101515102532237,1.3780888543623824,0.9426769708859476,0.9280546948704411,-0.0077275580091603025,1.378085562858925,0.2662154892175725,33.561530101148854,0
milk_yield_hist_gradient_boosting,HistGradientBoostingRegressor,False,1.121684,0.060652,1.0809263037904226,1.3525559677178034,0.9447814267553013,0.9127717689180184,-0.004076437474686489,1.3525678591214019,0.5126322505266452,29.566704862011818,0
