configuration_id,algorithm,parameters_json,is_baseline,group_cv_mae,group_cv_rmse,group_cv_r2,group_cv_median_absolute_error,group_cv_mean_residual,minimum_prediction,maximum_prediction,negative_prediction_count,fold_mae_standard_deviation,fold_mae_coefficient_of_variation,all_fold_r2_positive,status,relative_mae_improvement_vs_best_baseline,relative_rmse_improvement_vs_best_baseline
bangladesh_dmi_dummy_mean,DummyRegressor,"{""strategy"": ""mean""}",True,2.1250009722222223,2.5849796929610167,-0.002969781865870491,1.9560520833333328,-7.105427357601002e-17,9.7905625,9.896708333333333,0,0.13023673328485724,0.06128784644680047,False,BASELINE,,
bangladesh_dmi_dummy_median,DummyRegressor,"{""strategy"": ""median""}",True,2.1176666666666666,2.5885298272700408,-0.00572657141243238,1.8475000000000001,-0.15799999999999992,9.96,10.06,0,0.11615134702906672,0.05484873934947272,False,BASELINE,,
bangladesh_dmi_linear,LinearRegression,{},False,0.330121681878307,0.40819134787309996,0.9749907212484346,0.29467261904761965,-0.0019563492063493786,5.498895833333332,13.89702976190476,0,0.01420508132217343,0.043029834457858664,True,BEATS_BASELINE,0.8441106491996031,0.8420910814175375
bangladesh_dmi_ridge_a0_1,Ridge,"{""alpha"": 0.1}",False,0.33014758715336323,0.40817618590416915,0.9749925791166477,0.29457853721460525,-0.0019053652426081207,5.502611382361097,13.89368097153265,0,0.014265543578670783,0.04320959514401668,True,BEATS_BASELINE,0.8440984162663168,0.8420969468287716
bangladesh_dmi_ridge_a1,Ridge,"{""alpha"": 1.0}",False,0.3309540995803356,0.4087227111492998,0.9749255671884524,0.29116548510067464,-0.0016732011862422701,5.5351893758557535,13.862825207217375,0,0.014842647622502906,0.04484805488532711,True,BEATS_BASELINE,0.8437175667021868,0.8418855234096171
bangladesh_dmi_ridge_a10,Ridge,"{""alpha"": 10.0}",False,0.37215762735918523,0.46226782816657497,0.9679254245934957,0.32134998999599906,0.0002668038859262767,5.835996672196563,13.578929044480262,0,0.02855557549139076,0.07672978703679921,True,BEATS_BASELINE,0.8242605254088532,0.8211715823434338
bangladesh_dmi_tree_d2,DecisionTreeRegressor,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""random_state"": 42}",False,0.7192507540979356,0.8989999974581587,0.8786910180436103,0.6373184523809514,-0.00031366324307762795,5.430000000000001,13.257238095238097,0,0.08213354446940248,0.1141931989663495,True,BEATS_BASELINE,0.6603569554078692,0.6522216403068215
bangladesh_dmi_tree_d3,DecisionTreeRegressor,"{""max_depth"": 3, ""min_samples_leaf"": 20, ""random_state"": 42}",False,0.5288412777777779,0.6726141947011804,0.9320943933044613,0.41377777777777647,-0.05669535714285754,5.430000000000001,13.977142857142857,0,0.054148530783457445,0.10239089318253061,True,BEATS_BASELINE,0.7502717089039298,0.739799041155824
bangladesh_dmi_forest_d2,RandomForestRegressor,"{""max_depth"": 2, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}",False,0.7111963678640726,0.8935733339936239,0.8801511207221292,0.6077466567197964,0.0028568799207899904,5.510407719461192,13.249218838630362,0,0.08303206948514845,0.1167498503043789,True,BEATS_BASELINE,0.6641603803569623,0.6543209463397902
bangladesh_dmi_forest_d3,RandomForestRegressor,"{""max_depth"": 3, ""max_features"": 1.0, ""min_samples_leaf"": 10, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}",False,0.462283483539714,0.5785189622310566,0.9497647261581591,0.3991683025294699,-0.007647693754325536,5.436034894582407,13.825594211190303,0,0.054150912033646165,0.11713789041090444,True,BEATS_BASELINE,0.7817014873887703,0.7761998038876737
