configuration_id,algorithm,is_baseline,training_seconds,prediction_seconds,mae,rmse,r2,median_absolute_error,mean_residual,residual_standard_deviation,minimum_prediction,maximum_prediction,negative_prediction_count
feed_quantity_dummy_mean,DummyRegressor,True,0.194046,0.022841,3.180753838506667,3.965386285952648,-5.7056540051725335e-05,2.723848000000002,-0.02995200000000276,3.965326036548911,12.023848000000003,12.023848000000003,0
feed_quantity_dummy_median,DummyRegressor,True,0.170427,0.023283,3.1803226666666666,3.965277863319711,-2.3696424868990817e-06,2.6999999999999993,-0.006103999999999992,3.965326036548911,12.0,12.0,0
feed_quantity_ridge,Ridge,False,0.23381,0.023387,3.179527422481443,3.95850981062248,0.003408383903144685,2.7118432409820317,-0.02835122530059559,3.958461062061599,10.707697787134506,13.117846909935595,0
feed_quantity_decision_tree,DecisionTreeRegressor,False,2.602336,0.025678,3.2366963075651984,4.031446483512464,-0.03365491996407233,2.7631340490495546,-0.0275913838663474,4.031405816565426,7.366666666666666,16.62608695652174,0
feed_quantity_random_forest,RandomForestRegressor,False,89.567934,0.119619,3.1838034095749537,3.964970724151786,0.00015253904801582063,2.715632833803829,-0.027206091547634842,3.9649302503172112,9.595045135977506,14.52440217684129,0
feed_quantity_hist_gradient_boosting,HistGradientBoostingRegressor,False,0.527209,0.038387,3.1787966561520804,3.9598853514371775,0.0027156532102458053,2.7102508107338634,-0.0307723592771675,3.95981858121259,11.033998922548328,13.13987359358888,0
