canonical_feature,importance_mean,importance_standard_deviation,scoring,validation_sample_rows,n_repeats
age_months,0.0061463087854000216,0.0012712835267567062,f1_macro,5000,3
ambient_temperature_c,0.006067776515831004,0.003640269658328113,f1_macro,5000,3
breed,0.004355192402342875,0.003364978435557217,f1_macro,5000,3
days_in_milk,0.004267632725450572,0.0026993693833656835,f1_macro,5000,3
humidity_percent,0.004075750203542834,0.00046487173794888586,f1_macro,5000,3
lactation_stage,0.002543144955659058,0.0033652608698039985,f1_macro,5000,3
weight_kg,0.0008855705659941981,0.005855538455601844,f1_macro,5000,3
previous_week_avg_yield_l,-0.0001050986145059903,0.004120970002358011,f1_macro,5000,3
body_condition_score,-0.0017907335257818697,0.0005519904200923278,f1_macro,5000,3
