configuration_id,algorithm,is_baseline,training_seconds,prediction_seconds,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,predicted_class_count
feed_type_dummy_most_frequent,DummyClassifier,True,0.221396,0.018682,0.12629333333333334,0.125,0.015786666666666668,0.125,0.028032957666445688,0.028323005335101178,1
feed_type_dummy_stratified,DummyClassifier,True,0.179935,0.023625,0.12392,0.12392214422091186,0.12396070099173911,0.12392214422091186,0.1239371343518743,0.12393471781362454,8
feed_type_logistic_c1,LogisticRegression,False,0.618518,0.02157,0.12541333333333332,0.12539492567790503,0.12567600335516121,0.12539492567790503,0.12480908416932024,0.12481951198199448,8
feed_type_decision_tree,DecisionTreeClassifier,False,1.898512,0.022553,0.12717333333333333,0.12738474449871706,0.12610582527022324,0.12738474449871706,0.10217949892326006,0.10211734434634122,8
feed_type_random_forest,RandomForestClassifier,False,14.400607,0.115772,0.12696,0.12693082757259153,0.12716236188078034,0.12693082757259153,0.12688909988368033,0.12689923538323464,8
feed_type_hist_gradient_boosting,HistGradientBoostingClassifier,False,1.091822,0.048101,0.12565333333333334,0.12539739557838134,0.12439027165536273,0.12539739557838134,0.1112443159565433,0.11130951195381242,8
